id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_177608,134.74317680000016 -1.9539987070000189,0.0285607,-0.005,-0.0324,3.041,85.3,23.7624,22.3749,21.3497,20.7677,20.3296
W2p1p2_177616,134.2873985999998 -1.9529873759999952,0.0378121,4.0E-4,-0.0021,2.0067,20.0,24.2948,23.4907,22.6966,22.357,22.174
W2p1p2_177617,134.68466069999994 -1.9526713009999919,0.129948,-0.0056,-0.0252,0.8326,6.5,24.9569,24.6813,24.444,23.7279,23.8456
W2p1p2_177618,134.65339910000003 -1.9526956090000163,0.945241,-0.0063,-0.022,0.0,4.9,99.0,99.0,26.6876,24.1375,23.0924
W2p1p2_177635,134.50335459999997 -1.952570412999978,0.17726,-0.0076,-0.0163,0.7588,4.9,26.2226,25.1987,24.3268,24.1173,24.1236
W2p1p2_177636,134.52153059999983 -1.952604216999981,0.0365594,-0.0076,-0.0162,1.7804,5.3,25.3471,25.1226,24.6841,23.902,23.573
W2p1p2_177637,134.4301165999997 -1.9526081330000205,0.00541778,-0.0086,-0.0109,1.9448,5.2,24.5536,24.3759,24.3887,24.0797,23.5489
W2p1p2_177639,134.26616219999983 -1.952598736000021,0.0637393,-0.0055,-0.006,0.9601,3.4,25.3189,25.0737,24.8585,24.4713,23.9833
W2p1p2_177640,134.0244155999999 -1.9531693670000012,0.13861,-0.0091,0.0101,0.0,45.9,27.7607,24.7108,23.4136,21.4246,20.5317
W2p1p2_177641,134.13555509999992 -1.9525841680000227,0.0826012,-0.0016,0.0021,1.4285,4.3,26.445,25.8237,24.9644,24.2591,23.9499
W2p1p2_177642,134.86960419999986 -1.9531610750000115,2.83238E-4,-0.0073,-0.0459,3.5402,15.4,23.7285,23.2063,22.9897,22.8205,22.2904
W2p1p2_177644,134.92065079999992 -1.952526864000015,0.0625826,-0.009,-0.0538,2.0108,5.0,25.694,25.2947,24.4015,23.9846,23.6639
W2p1p2_177645,134.80323350000003 -1.9525196949999906,0.129398,-0.0031,-0.0294,1.2008,5.4,24.9917,24.6644,24.3296,23.8627,23.8238
W2p1p2_177646,134.85771909999977 -1.9524793190000012,0.00123849,-0.0071,-0.0434,1.9579,4.4,25.8715,25.5095,25.3812,24.2638,23.4555
W2p1p2_177647,134.20385590000015 -1.9525255420000154,0.0663523,-0.0041,-0.0019,1.4558,6.8,24.141,23.8901,23.828,23.4718,22.8811
W2p1p2_177649,134.3986637999998 -1.9525603760000134,0.860445,-0.0096,-0.0084,0.5663,7.3,26.7829,25.5599,24.3377,23.7633,23.2444
W2p1p2_177654,134.8493368999998 -1.9529914449999801,0.976148,-0.0088,-0.0469,0.0,45.1,25.6657,23.6293,22.6562,21.4672,20.9501
W2p1p2_177658,134.8362147000001 -1.9524295080000191,0.435434,-0.0081,-0.0374,1.2074,3.5,25.7916,25.5528,24.2533,23.9851,23.6627
